#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Skittle Stacking,Josylvio,1,9,1,9,9.000000
2,Blijf Bij Mij,Ronnie Flex,2,14,2,13,13.500000
3,JA!,Bizzey,3,1,3,5,3.000000
4,4/5,Ronnie Flex,4,3,4,13,8.000000
5,Officieel,Broederliefde,0,0,5,13,0.000000
6,Havana,Camila Cabello,6,4,6,4,4.000000
7,River,Eminem,0,0,7,7,0.000000
8,Cono,Puri,8,14,8,25,19.500000
9,Finesse,Bruno Mars,9,5,9,10,7.500000
10,rockstar,Post Malone,10,8,10,22,15.000000
11,Vervloekt,Frenna,11,14,11,22,18.000000
12,Wolves,Selena Gomez,12,5,12,12,8.500000
13,I Miss You,Clean Bandit,0,0,13,20,0.000000
14,In Amsterdam,Sevn Alias,0,0,14,25,0.000000
15,Him & I,G-Eazy,27,19,15,25,22.000000
16,Nikes,Jacin Trill,15,5,16,6,5.500000
17,Zoutelande,BLOF,16,12,17,17,14.500000
18,Perfect,Ed Sheeran,0,0,18,2,0.000000
19,So Far Away,Martin Garrix,18,9,19,13,11.000000
20,Stargazing,Kygo,19,17,20,17,17.000000
21,New Rules,Dua Lipa,20,2,21,1,1.500000
22,All Falls Down,Alan Walker,27,19,22,25,22.000000
23,Merry,Nafthaly Ramona,0,0,23,25,0.000000
24,Patsergedrag,Sevn Alias,27,19,24,25,22.000000
25,Too Good At Goodbyes,Sam Smith,22,13,25,22,17.500000
26,Anywhere,Rita Ora,0,0,26,11,0.000000
27,Silence,Marshmello,0,0,27,17,0.000000
28,What Lovers Do,Maroon 5,25,9,28,8,8.500000
29,Echame La Culpa,Luis Fonsi,27,19,29,20,19.500000
30,Perfect Duet,Ed Sheeran,26,17,30,2,9.500000